series,slope,intercept,r2,p_value
geo,0.010321707861908717,-20.411913334733562,0.13980654661084824,0.32153793701618827
bank,0.011035041357198783,-21.59452416138173,0.012883099165012402,0.7712401520111959
gap,0.0007133334952900543,-1.182610826648173,5.9698931684115664e-05,0.9842604694342814
