sample,pair,w_null,w_alt,n_counties,d1_j_coeff,d1_j_se,d1_j_z,d1_j_p,d1_reject,d2_j_coeff,d2_j_se,d2_j_z,d2_j_p,d2_reject,conclusion
Full,W_geo vs W_bank_bin,W_geo,W_bank_bin,886,0.24923669608743837,0.019861233519182977,12.54890316085922,4.030542714838408e-36,True,1.2136128998887106,0.0049206075501033045,246.6388322033997,0.0,True,Indeterminate (both)
Full,W_geo vs W_bank_count,W_geo,W_bank_count,886,0.2451167384984556,0.018227058905060423,13.447958871214448,3.164883151510498e-41,True,1.209417561259599,0.005124769588057264,235.9945243349124,0.0,True,Indeterminate (both)
Full,W_geo vs W_bank_nonGeo,W_geo,W_bank_nonGeo,876,0.22637457696761953,0.021444096534100104,10.556498689867482,4.7401395213972774e-26,True,1.2070466734837875,0.00559718419623629,215.6524836712433,0.0,True,Indeterminate (both)
Non-border,W_geo vs W_bank_bin,W_geo,W_bank_bin,629,0.2287225252537488,0.021268947972302204,10.753824098474736,5.685451879526331e-27,True,1.21487603704082,0.004951711349344436,245.34468011784634,0.0,True,Indeterminate (both)
Non-border,W_geo vs W_bank_count,W_geo,W_bank_count,629,0.22265913228492362,0.01910539269709675,11.654255728476015,2.182792610639181e-31,True,1.2128765656706761,0.005194866189129755,233.4759975547816,0.0,True,Indeterminate (both)
Non-border,W_geo vs W_bank_nonGeo,W_geo,W_bank_nonGeo,621,0.21490264613679277,0.02522749361727652,8.518588861702106,1.6150909149223643e-17,True,1.209070445234266,0.006115133735082264,197.7177438161131,0.0,True,Indeterminate (both)
