sample,lam_geo,se_geo,lam_bank,se_bank,gap,se_gap,z_gap,p_onesided,significant_05
Full,0.8268178726768265,0.0035677771021484566,0.9878876601676708,0.0023701305370180665,0.16106978749084433,0.004283287547330951,37.60424340205969,9.1619271645356e-310,True
Non-border,0.8315582210685398,0.0037973623550330202,0.987349466973756,0.00248323963915383,0.1557912459052162,0.004537228224465546,34.336215459729786,1.1310228117734408e-258,True
