model,beta,se_b,p_b,lam,se_l,p_l,n_co,n_obs
W_geo (full),2.308626489486678,0.017276945624122884,0.0,0.8268178726768265,0.0035677771021484566,0.0,893,9823
W_bank_knn (full),2.545628756588563,0.026339740780699072,0.0,0.7974196411500788,0.005745448236763825,0.0,893,9823
W_geo (non-border),2.1439300643608474,0.02928962082562098,0.0,0.8315582210685398,0.0037973623550330202,0.0,635,6985
W_bank_knn (non-border),2.4597290612656346,0.0324147710729215,0.0,0.7721494848313674,0.006570935221386394,0.0,635,6985
