year,lam_geo,se_geo,lam_bank,se_bank,gap,n_geo,n_bank
1997,0.7664674879368364,0.015315041877823982,0.8098617008700238,0.058682800610749035,0.04339421293318746,890,860
1998,0.7652309241066678,0.01538348333994957,0.8800354778452318,0.05019788051801996,0.11480455373856402,890,865
1999,0.8494800946990035,0.010456014381589409,0.9835582225654377,0.010439927349843496,0.13407812786643414,890,868
2000,0.8357058224820749,0.011299847477336207,0.9755954187158569,0.015407486561390547,0.13988959623378194,890,873
2001,0.829232721545153,0.011691024581189147,0.9789605182750173,0.013529224365905356,0.14972779672986425,890,874
2002,0.8397610907633297,0.011053044319591587,0.9822832730515526,0.011438128556131232,0.1425221822882229,890,874
2003,0.8433698212764392,0.010832279655916108,0.9800638241691173,0.012832577936962353,0.13669400289267808,890,878
2004,0.8434751160737652,0.010825822049673545,0.9806058009613566,0.01252108031499347,0.1371306848875914,890,879
2005,0.8305909887575567,0.011609223957735873,0.9793134689407764,0.013433304077895036,0.14872248018321976,890,880
