sample,W,spec,rho,rho_se,rho_ci_lower,rho_ci_upper,beta,beta_se,beta_ci_lower,beta_ci_upper,theta_WD,theta_WD_se,first_stage_F,first_stage_F_cluster,corr_q1q2,corr_q2q3,cond_num_instr,residual_moran_i_mean,N_counties,N_obs
Full,W_geo,KP-2SLS,1.2782568343997132,0.36224678113589803,0.5682661898577895,1.988247478941637,0.001425007467274912,0.008758966393714686,-0.01574225120620255,0.018592266140752375,,,6.688876092383404,2.0909699324248803,0.980196320807802,0.9889526453707855,10.002512853681415,-0.03842433734868303,956,10516
Full,W_geo,SDM-IV,1.589241507952147,0.5516154756243472,0.5080950424134942,2.6703879734908,0.011765513306402922,0.01312889780797334,-0.013966653553931688,0.03749768016673753,-0.020138869106316154,0.0225819359563047,3.36646627512642,1.5297586372823535,0.980196320807802,0.9889526453707855,21.15792858041526,-0.03178433335470678,956,10516
Full,W_bank,KP-2SLS,2.782117922176248,1.007815053175646,0.8068367148746627,4.757399129477834,-0.002344729958712367,0.011578949993834521,-0.02503905492541831,0.020349595007993576,,,78.3038807310038,4.419406144616658,0.9243766534858275,0.9745057946292373,5.738845794828413,-0.057405021001159344,956,10516
Full,W_bank,SDM-IV,-0.3526547612273248,1.7868673030127786,-3.8548503202845907,3.149540797829941,-0.00400475659330435,0.017088009420104484,-0.03749663962419031,0.029487126437581612,0.10553770079287167,0.050929333562998426,41.62235441536216,2.1402400942194006,0.9243766534858275,0.9745057946292373,24.342718066035346,0.061397700181400186,956,10516
Border,W_geo,KP-2SLS,1.1587365840841624,0.2204656332759451,0.7266318830344947,1.59084128513383,0.001702793265503516,0.005776515139821004,-0.009618968364696006,0.013024554895703038,,,26.712646206290177,10.47795761264907,0.9049314686544548,0.9359185837287413,4.485225894747881,-0.05920968755170741,254,2794
Border,W_geo,SDM-IV,1.80370273594335,0.3942680749197879,1.030951508846626,2.5764539630400742,0.011838251473585193,0.01127916755808303,-0.010268510715850134,0.033945013663020523,-0.04591193051683985,0.018920276883834075,14.02908914452783,7.363948743788786,0.9049314686544548,0.9359185837287413,11.806011641989297,-0.036882951947894635,254,2794
Border,W_bank,KP-2SLS,1.0177689926342317,0.36351222641476866,0.3052981209213155,1.730239864347148,0.017618647692127714,0.01015320509761426,-0.0022812686268447215,0.03751856401110015,,,151.00110948580263,19.539191527314415,0.9449143773680997,0.9915931024102972,6.212995953327951,-0.05219920098693776,254,2794
Border,W_bank,SDM-IV,-0.1635199247734598,0.735225369888993,-1.6045351702760255,1.277495320729106,-0.013297684720157445,0.011498781289479832,-0.035834881913640954,0.009239512473326068,0.13099929923181547,0.04070454274993754,81.24694685941432,7.780903180414005,0.9449143773680997,0.9915931024102972,24.47484227601888,0.06761029812229656,254,2794
