sample,model,beta,se,z_stat,p_value,nobs
Full,OLS_clustered,2.2201607179378353,0.15484183478295194,14.338248581527882,1.3731291827797918e-18,9823
Full,SEM_W_geo,2.308626489486678,0.017276945624122884,133.62468920798509,0.0,108053
Full,SEM_W_bank,2.404789833550481,0.01824089801488727,131.83505722074742,0.0,108053
Non-border,OLS_clustered,2.3613181307566253,0.18083815961658842,13.057631949822275,6.546567782467907e-17,6985
Non-border,SEM_W_geo,2.1439300643608474,0.02928962082562098,73.1976039268304,0.0,76835
Non-border,SEM_W_bank,2.4840256843170705,0.02219212091918047,111.93277530180305,0.0,76835
