sample,estimator,kernel,cutoff_km,meat_psd_clip_pct,beta,se,ci_lower,ci_upper,ci_width,t_stat,p_value,B_state,B_spatial_band,B_overlap_band,frac_same_state_band
Full,State clustering (Favara-Imbs),cluster,,0.0,0.0253247639048175,0.010774296020403487,0.004207143704826666,0.04644238410480833,0.042235240399981666,2.350479683949607,0.018749231150997893,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC bartlett_100km,bartlett,100.0,0.0,0.0253247639048175,0.00544613212758335,0.014650344934754133,0.03599918287488087,0.021348837940126736,4.650045814451261,3.318613012782695e-06,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC bartlett_250km,bartlett,250.0,0.0,0.0253247639048175,0.006009735714068445,0.013545681905243346,0.037103845904391655,0.02355816399914831,4.2139563384682095,2.5093581581915383e-05,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC bartlett_500km,bartlett,500.0,0.0,0.0253247639048175,0.0066702068479258915,0.012251158482882751,0.038398369326752245,0.026147210843869492,3.7966984356253155,0.0001466359909895992,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC binary_band,binary_band,,0.0,0.0253247639048175,0.007570890330029707,0.010485818857959274,0.040163708951675724,0.02967789009371645,3.345017930634603,0.0008227725106228078,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC binary_band_knn3,binary_band,,0.0,0.0253247639048175,0.005448881419010664,0.014644956323556597,0.0360045714860784,0.0213596151625218,4.647699584076403,3.356572717330179e-06,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC binary_band_knn4,binary_band,,0.0,0.0253247639048175,0.005592158598100833,0.014364133052539868,0.03628539475709513,0.02192126170455526,4.528620471067846,5.937002820312212e-06,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC binary_band_count_knn3,binary_band,,0.0,0.0253247639048175,0.0052561125232924106,0.015022783359164375,0.03562674445047062,0.020603961091306244,4.818154823092363,1.448919238419163e-06,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC binary_band_count_knn4,binary_band,,0.0,0.0253247639048175,0.005278769832620515,0.01497837503288129,0.03567115277675371,0.020692777743872418,4.797474545740071,1.6067862045886743e-06,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC binary_band_binary_knn3,binary_band,,0.0,0.0253247639048175,0.0052561125232924106,0.015022783359164375,0.03562674445047062,0.020603961091306244,4.818154823092363,1.448919238419163e-06,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
