model,beta,se_b,p_b,lam,se_l,p_l
W_bank_nonGeo (full),2.4254202891432373,0.0185038560434325,0.0,0.9787873505752528,0.00410959982436915,0.0
W_bank_nonGeo (non-border),2.513835479120387,0.022654151579635743,0.0,0.957774977338123,0.007996409736697687,0.0
