sample,pair,w_null,w_alt,n_counties,d1_j_coeff,d1_j_se,d1_j_z,d1_j_p,d1_reject,d2_j_coeff,d2_j_se,d2_j_z,d2_j_p,d2_reject,conclusion
Full,W_geo vs W_bank,W_geo,W_bank,949,1.08794887447709,0.0743082460245447,14.641024821360075,1.5373341278653563e-48,True,1.6690012882322165,0.08321557280534242,20.056357625949875,1.7762855525962223e-89,True,Indeterminate (both)
Full,W_geo vs W_bank_count,W_geo,W_bank_count,949,1.140530983539647,0.07428602828021945,15.353236805679954,3.369464543625648e-53,True,1.7006909085308828,0.08307103485859126,20.472730494159677,3.7690001678573952e-93,True,Indeterminate (both)
Full,W_geo vs W_bank_binary,W_geo,W_bank_binary,949,0.8682748220530714,0.12437023611069963,6.981371501781473,2.9231219808236158e-12,True,1.786618394759659,0.08249028966495234,21.658529773823062,5.050980789987575e-104,True,Indeterminate (both)
Full,W_geo vs W_bank_knn4,W_geo,W_bank_knn4,949,1.5704531870629181,0.0738792855284749,21.257016440117393,2.839011687311388e-100,True,1.5980652059427416,0.08381677746064593,19.066173317067374,4.823359831847705e-81,True,Indeterminate (both)
Full,W_geo vs W_bank_nonGeo,W_geo,W_bank_nonGeo,941,1.046141947126042,0.10683385819666354,9.79223220788551,1.215816004504556e-22,True,1.73456999448029,0.08081276595775691,21.464059222858406,3.375117610252429e-102,True,Indeterminate (both)
Full,W_geo vs W_bank_interstate,W_geo,W_bank_interstate,920,0.9103702663635345,0.38187757472897466,2.3839322510876437,0.017128755419195278,True,1.7883546635460628,0.08459187308171302,21.14097487613934,3.341050735437665e-99,True,Indeterminate (both)
Full,W_geo vs W_bank_intrastate,W_geo,W_bank_intrastate,947,1.5668633119030186,0.07441168308070682,21.056684206478714,1.9859790602273496e-98,True,1.739744301679982,0.08293788833786943,20.976472111186066,1.0758491156673776e-97,True,Indeterminate (both)
Border,W_geo vs W_bank,W_geo,W_bank,253,1.2648768547503557,0.18299971933283185,6.9119059819422635,4.781847565253668e-12,True,2.2164631014898455,0.16757051259558753,13.227047331644968,6.124650757171454e-40,True,Indeterminate (both)
Border,W_geo vs W_bank_count,W_geo,W_bank_count,253,1.3195521021001022,0.18932704679073967,6.969696746807567,3.1762489104958037e-12,True,2.3809309124590343,0.16486882004182749,14.441365637571666,2.8415560222585894e-47,True,Indeterminate (both)
Border,W_geo vs W_bank_binary,W_geo,W_bank_binary,253,0.3557861829834401,0.6602517124998791,0.5388644607014257,0.5899803811928008,False,2.2088796183637087,0.1679312028582334,13.153479405661333,1.6252019265243116e-39,True,W_null preferred
Border,W_geo vs W_bank_knn4,W_geo,W_bank_knn4,253,1.839132400221476,0.12170035192613195,15.111972735606944,1.3503572515634546e-51,True,1.3168756026772086,0.17854486697566901,7.375600458212356,1.636059790160557e-13,True,Indeterminate (both)
Border,W_geo vs W_bank_nonGeo,W_geo,W_bank_nonGeo,251,1.3358225756735989,0.27439853920105467,4.868183990931627,1.1262844567307237e-06,True,1.8246451455740285,0.16304474437168692,11.191069988827447,4.509585469752115e-29,True,Indeterminate (both)
Border,W_geo vs W_bank_interstate,W_geo,W_bank_interstate,248,1.250909610380218,0.2307834520216885,5.420274284928627,5.9507663024653854e-08,True,1.7349378964986593,0.16706634508547752,10.384724078395315,2.9100956181485607e-25,True,Indeterminate (both)
Border,W_geo vs W_bank_intrastate,W_geo,W_bank_intrastate,253,0.510565451639326,0.305790672981423,1.669656718634918,0.094987301617719,False,2.2976489252043506,0.16641504023608392,13.806738393025064,2.3210497571894336e-43,True,W_null preferred
NonBorder,W_geo vs W_bank,W_geo,W_bank,696,1.1550557726380237,0.08667830720700523,13.325776769953736,1.6391775546529909e-40,True,1.677153365854659,0.0993599509500516,16.879571193606633,6.360513995693169e-64,True,Indeterminate (both)
NonBorder,W_geo vs W_bank_count,W_geo,W_bank_count,696,1.1716605470979857,0.08686668693441048,13.488030779655027,1.8394828501187113e-41,True,1.7308376929033027,0.0990639296436467,17.47192645324571,2.344432064973996e-68,True,Indeterminate (both)
NonBorder,W_geo vs W_bank_binary,W_geo,W_bank_binary,696,0.923713821022381,0.14343507951876072,6.43994359065812,1.1951791324475046e-10,True,1.794421572747094,0.09859567578267983,18.19979992532611,5.179661443100681e-74,True,Indeterminate (both)
NonBorder,W_geo vs W_bank_knn4,W_geo,W_bank_knn4,696,1.6203017566260716,0.07922595989262965,20.451651943655495,5.8074893335452905e-93,True,1.4580511108698129,0.10073104667152974,14.474694337529515,1.7510240627556605e-47,True,Indeterminate (both)
NonBorder,W_geo vs W_bank_nonGeo,W_geo,W_bank_nonGeo,690,1.1344768033699657,0.1137911885572797,9.96981240598342,2.066187195592503e-23,True,1.776065160868007,0.09679581249150425,18.348574335526052,3.388882238310737e-75,True,Indeterminate (both)
NonBorder,W_geo vs W_bank_interstate,W_geo,W_bank_interstate,672,0.339868833072428,2.828310961727805,0.12016671351611329,0.9043510854309029,False,1.819992060341802,0.10141512845319806,17.945962186319253,5.160892406703975e-72,True,W_null preferred
NonBorder,W_geo vs W_bank_intrastate,W_geo,W_bank_intrastate,694,1.6423925388323708,0.0812559484076899,20.212582229572966,7.587284343007057e-91,True,1.7857680698270681,0.09890895960675293,18.054664379516396,7.250126105595365e-73,True,Indeterminate (both)
