k,n_links,possible_links,density,sparsity,avg_nbrs,lam_full,gap_full,lam_nb,gap_nb
1,1012,1045506,0.0009679523599099383,0.99903204764009,0.989247311827957,0.5733940434445287,-0.25340595655547127,0.6112100663114619,-0.2203899336885381
2,2012,1045506,0.0019244270238525651,0.9980755729761475,1.9667644183773216,0.6824268487229774,-0.14437315127702255,0.682497632828399,-0.14910236717160097
3,3007,1045506,0.002876119314475479,0.9971238806855245,2.9393939393939394,0.752428440585261,-0.07437155941473894,0.7523897143641142,-0.07921028563588584
4,3993,1045506,0.0038192033331229088,0.9961807966668771,3.903225806451613,0.7803687590475114,-0.04643124095248863,0.7685439623564702,-0.06305603764352985
5,4970,1045506,0.004753679079794855,0.9952463209202052,4.858260019550342,0.7974196411500788,-0.029380358849921184,0.7721494848313674,-0.059450515168632645
6,5938,1045506,0.005679546554491318,0.9943204534455087,5.804496578690127,0.8142666465874354,-0.012533353412564563,0.7892219434245394,-0.042378056575460565
7,6902,1045506,0.00660158813053201,0.993398411869468,6.746823069403715,0.8276011053270218,0.0008011053270218227,0.7928776879568087,-0.03872231204319132
8,7862,1045506,0.007519803807916932,0.992480196192083,7.685239491691105,0.8396754143459534,0.012875414345953407,0.799709128885293,-0.03189087111470701
9,8820,1045506,0.008436106535973969,0.9915638934640261,8.621700879765395,0.8472084555621792,0.020408455562179184,0.8085668705578813,-0.02303312944211866
10,9778,1045506,0.009352409264031004,0.990647590735969,9.558162267839688,0.8610678879400658,0.034267887940065855,0.82536387128045,-0.006236128719550038
11,10734,1045506,0.010266799042760157,0.9897332009572398,10.49266862170088,0.8673278665777048,0.040527866577704796,0.8323752465439148,0.0007752465439148093
12,11686,1045506,0.011177362922833537,0.9888226370771664,11.423264907135875,0.8715372233996622,0.04473722339966224,0.8365565967482315,0.004956596748231457
13,12636,1045506,0.012086013853579032,0.987913986146421,12.351906158357771,0.8746061601014093,0.04780616010140937,0.8500725417514267,0.018472541751426652
14,13583,1045506,0.0129917953603327,0.9870082046396673,13.27761485826002,0.880599930366999,0.05379993036699904,0.861109257101478,0.029509257101478004
15,14529,1045506,0.013896620392422425,0.9861033796075775,14.20234604105572,0.8808384867848739,0.054038486784873885,0.8590050056119015,0.027405005611901512
16,15474,1045506,0.014800488949848208,0.9851995110501518,15.126099706744869,0.8865747486824271,0.05977474868242716,0.8642786906754694,0.03267869067546936
17,16417,1045506,0.015702444557946105,0.9842975554420539,16.047898338220918,0.8866701246616477,0.05987012466164776,0.8711368201706878,0.039536820170687825
18,17357,1045506,0.016601530742052173,0.9833984692579478,16.96676441837732,0.8892578373977802,0.062457837397780214,0.877147220094572,0.045547220094572016
19,18292,1045506,0.01749583455283853,0.9825041654471615,17.880742913000976,0.8923757461214898,0.06557574612148986,0.8828264517256372,0.05122645172563722
20,19227,1045506,0.018390138363624887,0.9816098616363751,18.794721407624632,0.8948829902429489,0.06808299024294895,0.8866075834929991,0.05500758349299906
