sample,W,estimator,rho,rho_se,rho_ci_lower,rho_ci_upper,beta,beta_se,beta_ci_lower,beta_ci_upper,first_stage_F,residual_moran_i_mean,N_counties,N_obs
Full,W_geo,IV-SAR,1.2782568343997096,0.3622467811358962,0.5682661898577896,1.9882474789416296,0.0014250074672752815,0.00875896639371457,-0.015742251206201957,0.018592266140752517,6.688876092383404,-0.038424337348683064,956,10516
Full,W_bank,IV-SAR,2.782117922176248,1.007815053175646,0.8068367148746627,4.757399129477834,-0.002344729958712367,0.011578949993834521,-0.02503905492541831,0.020349595007993576,78.3038807310038,-0.057405021001159344,956,10516
Non-border,W_geo,IV-SAR,0.09172164294283139,1.6888088377003438,-3.2182828557227916,3.4017261416084548,0.02729811912470518,0.035729602081113115,-0.042730614136223886,0.09732685238563424,1.3462109496115904,0.031000626974148158,702,7722
Non-border,W_bank,IV-SAR,9.743430597669818,12.36330829026423,-14.488208381013546,33.97506957635318,-0.05418702387940239,0.09046278963337706,-0.2314908335018448,0.12311678574304002,2.8250753889093505,0.08127241628445947,702,7722
