label,N,n_links,possible,density,sparsity,avg_nbrs,n_islands
W_geo,1023,3502,1045506,0.0033495742731270792,0.9966504257268729,3.423264907135875,0
W_bank (full),1023,421092,1045506,0.4027638291889286,0.5972361708110714,411.62463343108504,11
W_bank_intrastate,1023,27666,1045506,0.026461828052636714,0.9735381719473633,27.04398826979472,13
