sample,alpha,N,n_obs,lam,se_lam,logll,sig2,utu,beta_D,se_beta_D,beta_Deta,se_beta_Deta
Full,0.0,868,9548,0.9735161834558937,0.005114459732424164,-23637.887619615416,0.0008466021759646755,25.05207036860904,0.004488814765348492,0.0009833328206923942,-0.002584304267416724,0.00032758486835195
Full,0.05,868,9548,0.9840128834092312,0.0032586781101393435,-23347.687661732114,0.0007930816535288941,41.87833847152946,0.00446778070846668,0.000990019940287258,-0.0025726158470036186,0.000329873038880191
Full,0.1,868,9548,0.9883449496582835,0.0025327313960431678,-23060.319966173163,0.0007426948919231311,39.95540193211174,0.004468368740105074,0.0009966961469956533,-0.0025670736935361127,0.00033234909127221956
Full,0.15000000000000002,868,9548,0.9919024850766409,0.0019344484116321015,-22777.085621784936,0.0006948770805106549,30.242536388471127,0.004467625373058494,0.0010040563805254338,-0.0025599089866913025,0.0003350591725101704
Full,0.2,868,9548,0.9944003994160345,0.0015257315004845473,-22499.450283398117,0.0006497791064174188,23.238286873843492,0.004464040541267517,0.0010121710177574262,-0.002548801238034265,0.0003380132184926635
Full,0.25,868,9548,0.9958738381526487,0.0013037411216936965,-22229.859158694995,0.0006075991274606553,19.29518491200551,0.004460433564492357,0.001021004975137209,-0.002533525381896176,0.0003412585530559507
Full,0.30000000000000004,868,9548,0.9967971902414785,0.0011763902402826267,-21970.927397357627,0.0005683357094947482,16.964357423322365,0.004456712243071392,0.0010306166247447369,-0.0025134711015938655,0.0003448368469366208
Full,0.35000000000000003,868,9548,0.9973661105791568,0.0011056328551219516,-21725.561631116263,0.000531987242228941,15.493599508054102,0.004452624692739177,0.0010410530601861802,-0.002487776240783668,0.0003487744263743634
Full,0.4,868,9548,0.9976401415184645,0.0010800983610475341,-21497.178809552082,0.0004985662917917663,14.520531888046028,0.004448204843566851,0.0010523292116653342,-0.002455527513548393,0.0003530870832243464
Full,0.45,868,9548,0.9976053884422571,0.001102815325017065,-21289.839987698844,0.0004680980360796308,13.855486679684258,0.004443768573933991,0.0010644153971574052,-0.0024158875806824707,0.0003577766345578106
Full,0.5,868,9548,0.9971606295070106,0.0011937456422168988,-21108.352005978886,0.00044062924270395903,13.390237664038295,0.004440046573987321,0.0010772127082388455,-0.0023683289613832784,0.0003628217237030494
Full,0.55,868,9548,0.9959987002710912,0.001411611187479229,-20958.317009292663,0.000416262582646665,13.054656080394569,0.00443881583227406,0.001090495307463405,-0.00231321189844943,0.000368157507793954
Full,0.6000000000000001,868,9548,0.9930782417388695,0.0019427755788046072,-20845.933106658693,0.00039529756208321663,12.78253010881749,0.0044458459341654025,0.001103710569997933,-0.002253720379658854,0.0003736108923576421
Full,0.65,868,9548,0.9839328944474366,0.003383734367997216,-20776.326196616566,0.0003789288390112158,12.41345044017988,0.004487002060438493,0.0011149942785923608,-0.002204905722250779,0.0003785949124391493
Full,0.7000000000000001,868,9548,0.9570815608709832,0.0054312559822912625,-20745.69323628381,0.0003700419741498467,11.673861316978243,0.004637930506960433,0.0011195665084131289,-0.0022100131973462607,0.0003815829928239727
Full,0.75,868,9548,0.9171859922415712,0.0060411916489218715,-20738.060739797816,0.0003668630835374693,11.193717941960287,0.004897934793261065,0.0011180059276491472,-0.0022763969499748314,0.00038256355268006576
Full,0.8,868,9548,0.8762092013109577,0.006023910095260756,-20743.293452507758,0.0003657926235913994,11.032880329076674,0.00521126718560106,0.0011143244276101188,-0.0023757829459957014,0.0003827282159767289
Full,0.8500000000000001,868,9548,0.8367538587722881,0.005854611437589481,-20757.15902783273,0.0003659048857708012,10.960400090795215,0.005557963945719474,0.0011096159839023994,-0.0024954375848734627,0.00038244770503540463
Full,0.9,868,9548,0.7993262062106639,0.005645344422846484,-20776.96754336925,0.00036685704835369404,10.911309282257456,0.005924509616031368,0.0011042988267161253,-0.0026277797298546006,0.0003818626224427338
Full,0.9500000000000001,868,9548,0.7640744759666359,0.005429997511113585,-20800.758844830278,0.00036841762446677745,10.869500117196424,0.0062992789649656145,0.0010986575001216453,-0.0027669022069614687,0.0003810663531051516
Full,1.0,868,9548,0.7310117484047435,0.005220864248685924,-20827.08424791698,0.00037041252940072316,10.830742690670569,0.00667295114035804,0.0010928979387234796,-0.0029082134173168592,0.0003801288292202972
Non-border,0.0,615,6765,0.9660453168124118,0.006533710064112402,-15581.405113430756,0.0008433367149915733,16.49547208336785,0.004325240943054026,0.001185931349370005,-0.0026673616514719185,0.00038184321442514624
Non-border,0.05,615,6765,0.9815638556257261,0.003844072046308556,-15379.649999701536,0.0007893962278400371,37.03098725120645,0.004317698727512366,0.0011976359020714781,-0.0026684699475459928,0.0003850489231929729
Non-border,0.1,615,6765,0.9859037163489787,0.0032089285141002006,-15181.122913845145,0.0007395415945649701,35.994991158606936,0.004332018329531465,0.0012094635980654576,-0.0026797813885417153,0.0003884053524411975
Non-border,0.15000000000000002,615,6765,0.9886304025949747,0.0028566898722664196,-14987.94909006093,0.000692827897394953,26.001211381371515,0.004348693450049895,0.0012228639372403635,-0.0026918272079305204,0.0003921232201693308
Non-border,0.2,615,6765,0.9912752602570167,0.002492564359566692,-14800.909118427877,0.0006488862199868158,19.02882496671605,0.0043638974630919635,0.0012381768182323275,-0.0027022752416079607,0.0003963152112651606
Non-border,0.25,615,6765,0.9934156707867224,0.002200566252349021,-14621.51521060303,0.0006078409991729341,14.995437763849184,0.004379362783933271,0.001255482552210579,-0.0027110477833175656,0.000401039845880147
Non-border,0.30000000000000004,615,6765,0.9948933377876144,0.0020132376651491282,-14451.841158935536,0.0005698187830407194,12.71369357882664,0.00439720525092201,0.0012749606979926087,-0.0027180881313144,0.0004063555034325636
Non-border,0.35000000000000003,615,6765,0.9957440566186302,0.0019244178346638143,-14294.333740415088,0.0005348868352070457,11.366080192208532,0.004419135894720539,0.0012968650406337716,-0.0027229832574676926,0.00041232253112413465
Non-border,0.4,615,6765,0.9959672742192504,0.0019343071457666203,-14151.805873232111,0.0005030970016101922,10.526358536973806,0.004447096490794247,0.0013214343856088376,-0.002725121232265782,0.00041899212269506854
Non-border,0.45,615,6765,0.9954166296587509,0.002070150561395601,-14027.469745248201,0.0004745234454918048,9.979441462661718,0.004483892501250087,0.0013487997506848573,-0.0027239087225572776,0.0004263878535273897
