model,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs
W_geo (full),0.033446189780510394,0.0048452056835348615,6.902945295835086,5.093524865460424e-12,0.18009338106565895,0.010653376586949563,16.904816946607728,4.146102788736129e-64,956,10516
W_bank_interstate (full),0.02554254352365206,0.004169555362975798,6.125963394193291,9.013652904182867e-10,0.1751730398828388,0.061453198622925705,2.850511345352312,0.004364899314629135,920,10120
W_geo (contig),0.040678623287210884,0.007439479030338581,5.467939773917145,4.552965168958999e-08,0.16769070676774456,0.020596664164776943,8.141643978179639,3.899464640114333e-16,254,2794
W_bank_interstate (contig),0.023107759830363138,0.006782764585566421,3.406835006412571,0.0006572084253185946,0.3605687232084084,0.056868925762488316,6.340347006277468,2.2924822711292618e-10,248,2728
W_geo (noncontig),0.031111734025319738,0.006005172163036563,5.180822994021847,2.2090904622508375e-07,0.17006359156460643,0.011859077321999664,14.340372943611984,1.2239594176135863e-46,702,7722
W_bank_interstate (noncontig),0.024948545409715476,0.0051041861895322095,4.887859588837211,1.0193818977030448e-06,0.02757499652256895,0.07516378992735316,0.3668654354606196,0.7137193949712275,672,7392
