sample,w_matrix,n_counties,n_obs,LM_error,p_LM_error,LM_lag,p_LM_lag,rLM_error,p_rLM_error,rLM_lag,p_rLM_lag,decision
Full,W_geo,956,10516,271.2844676538386,5.956176270831603e-61,4.255260119092628,0.03912895521109271,0.19646829133639832,0.6575867698286464,0.8488432822762703,0.3568797736530809,Indeterminate
Full,W_bank,956,10516,265.51918021347376,1.0752617282794706e-59,72.58324239487098,1.6013304542449027e-17,34.827790064143485,3.601951785318831e-09,62.209347687324275,3.088185559836012e-15,SAR
Full,W_bank_count,956,10516,229.0044587431407,9.82778248274374e-52,54.31622566173536,1.706866006779273e-13,32.78661616308167,1.028505476035041e-08,56.19806056696213,6.552614030742645e-14,SAR
Full,W_bank_binary,956,10516,80.93415284366013,2.3336546700604256e-19,50.13428184171377,1.4357660188087548e-12,38.24904894718829,6.226741766491265e-10,57.45220007054166,3.462936266504489e-14,SAR
Full,W_bank_knn4,956,10516,280.50194373940195,5.837329997373921e-63,7.479163587493606,0.006241705992650512,4.448044848339127,0.03494122882515023,6.886898221876732,0.008682980852384125,SAR
Full,W_bank_nonGeo,956,10516,122.3478177884936,1.9371844510838072e-28,40.9459342585735,1.5649924689315976e-10,33.53518778249566,6.998632184214219e-09,53.229056128152656,2.9683547325835046e-13,SAR
Full,W_bank_interstate,956,10516,15.871879327540292,6.77783613288869e-05,13.083334293335382,0.0002979346503726588,24.945233235068322,5.898218127946864e-07,34.981077380937414,3.3292505188974254e-09,SAR
Full,W_bank_intrastate,956,10516,382.32668623838316,3.8762261298921314e-85,23.991048707419303,9.678462109987459e-07,1.2751803072188028,0.2587971026883267,1.982485311155499,0.15912882908331394,Indeterminate
Border,W_geo,254,2794,62.6918200236989,2.417175060625618e-15,3.8581102346963028,0.04950605903639777,5.0490741867860525,0.024639100110580764,8.075496553928671,0.004486781082259855,SAR
Border,W_bank,254,2794,39.72076763284991,2.929933261557253e-10,23.30774885378791,1.3804274023570168e-06,46.42931339400716,9.49838580779495e-12,62.317728912424776,2.922819432448912e-15,SAR
Border,W_bank_count,254,2794,30.886398739021175,2.7358244771205427e-08,17.00618673815696,3.7258218502702424e-05,46.52204144312322,9.05936629093389e-12,60.62831256877383,6.8935368976376315e-15,SAR
Border,W_bank_binary,254,2794,2.015129066873962,0.1557380262938317,6.72272779415717,0.009519192441113962,38.24757313283362,6.231452846303297e-10,43.63520878549076,3.956562497433782e-11,SAR
Border,W_bank_knn4,254,2794,95.63386917031166,1.382213575171098e-22,6.270927121498002,0.012273490639338573,6.290641348450789,0.012137712339985878,10.024693067461827,0.0015445541264273565,SAR
Border,W_bank_nonGeo,254,2794,16.378720944288165,5.1864230658925984e-05,13.08833103312616,0.0002971409733778011,36.815008269543476,1.298865000090556e-09,47.66469303373688,5.057178832550623e-12,SAR
Border,W_bank_interstate,254,2794,20.846985683519968,4.974745498894769e-06,16.765074290535157,4.2304829800285566e-05,21.51974282841341,3.5020462093770045e-06,33.79102705720209,6.1361230186011635e-09,SAR
Border,W_bank_intrastate,254,2794,20.770120815206948,5.178462167639838e-06,2.1781816086983126,0.13997976308800592,2.005973646371825,0.15668066687887394,2.3904047489462914,0.12208201663330807,SEM
