matrix,sparsity,avg_nbrs,n_pairs
W_geo,0.9966504257268729,3.423264907135875,3502
W_bank_avg,0.5972361708110714,411.62463343108504,421092
W_bank_nonGeo,0.6003351487222455,408.4574780058651,417852
