sample,w_matrix,n_counties,n_obs,rho,rho_se,beta_D,beta_D_se,delta_rho,delta_rho_se,z_stat
Full,W_geo,877,9647,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,,,
Full,W_bank,877,9647,0.6458988606535585,0.035534829144422825,0.01956452198033366,0.0039720865403438405,0.4687982472164455,0.03715650151115464,12.616856489454719
Full,W_bank_count,877,9647,0.6717135970147342,0.03152209616758261,0.02147262847244433,0.003967252569860258,0.4946129835776212,0.03333952712657216,14.835632842056908
Full,W_bank_binary,877,9647,0.4795142077728268,0.057667926923755566,0.02362687240608457,0.0039984098211947785,0.30241359433571374,0.05868109847224,5.153509429936373
Full,W_bank_knn3,877,9647,0.2191491734629084,0.011904224580052957,0.021113167818082666,0.0039412137481000245,0.04204856002579538,0.016111861626685233,2.6097890485946422
Full,W_bank_knn4,877,9647,0.25380452208812276,0.01308546301681287,0.019967273504794776,0.003936833363408064,0.07670390865100973,0.01700326041056516,4.51112944217151
Full,W_bank_count_knn3,877,9647,0.22361741929175602,0.011480298121223828,0.02154424207321302,0.003940977069061121,0.04651680585464299,0.0158012267617831,2.9438730647894182
Full,W_bank_count_knn4,877,9647,0.24964323663606744,0.012587701478250833,0.020920401909526088,0.003942378200007292,0.07254262319895441,0.016623229250981086,4.3639308646767905
Full,W_bank_binary_knn3,877,9647,0.21442541359468673,0.01227064145295712,0.021056732645473,0.003948851368260527,0.037324800157573695,0.016384448843099506,2.2780626016171093
Full,W_bank_binary_knn4,877,9647,0.2532140292635545,0.013610287461365715,0.01969572461436299,0.003943369396630074,0.07611341582644149,0.017410383310143517,4.37172545087487
Full,W_bank_nonGeo,870,9570,0.5107939085128788,0.04447898205764352,0.018295509907771575,0.003990542831308584,0.3315315721308155,0.04578018589955728,7.241813584117002
Full,W_bank_interstate,853,9383,0.3367788428613254,0.061131660678813635,0.01783099455980885,0.0039551128903244125,0.15762593916463527,0.06209799261060026,2.5383419421150206
Full,W_bank_intrastate,876,9636,0.3392843169088877,0.01739030760414734,0.01998761042449567,0.003955386207847883,0.162218022153777,0.020505761732653848,7.910850826646312
Contig,W_geo,238,2618,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,,,
Contig,W_bank,238,2618,0.3806439476549198,0.04962104650914248,0.029957952949752505,0.006409710433244308,0.2668880983946345,0.05417238039217635,4.92664521039173
Contig,W_bank_count,238,2618,0.41511742053647716,0.04534942088770841,0.031282011311876454,0.0063988904414681805,0.30136157127619184,0.050288850807536804,5.992612009161814
Contig,W_bank_binary,238,2618,0.2920743045530804,0.07731233749050075,0.03432338731538962,0.006431891837728739,0.1783184552927951,0.08030937721671896,2.220393949906916
Contig,W_bank_knn3,238,2618,0.15796288592577992,0.020771366527812286,0.03541504559922593,0.006387492290456224,0.04420703666549462,0.03006406838943945,1.4704276245267973
Contig,W_bank_knn4,238,2618,0.1373516582621569,0.02199808961859622,0.0345975368079522,0.006404549046732816,0.023595809001871595,0.03092433487659779,0.7630175101915577
Contig,W_bank_count_knn3,238,2618,0.16608974551936087,0.020453234552055898,0.03518462775384188,0.006382025810605235,0.05233389625907557,0.02984515612848398,1.7535139046945214
Contig,W_bank_count_knn4,238,2618,0.14770234287564069,0.02163627515328903,0.034571368792499786,0.00639900232350255,0.033946493615355386,0.030668011725591277,1.1069023293423468
Contig,W_bank_binary_knn3,238,2618,0.16233102953243517,0.021059505992846787,0.03544185704709221,0.006388071638258884,0.04857518027214987,0.030263861838088695,1.6050555785651717
Contig,W_bank_binary_knn4,238,2618,0.13636723126314626,0.022526402493452478,0.03452481228172184,0.006408030732729536,0.02261138200286096,0.031302353745192926,0.7223540500155957
