pair,sample,alpha_star,lam_at_star,se_lam_at_star,beta_at_star,se_beta_at_star,logll_at_star,logll_geo,logll_bank,logll_improvement
Pair A,Full,0.8500000000000001,0.9366123336399396,0.0039245519257145945,2.293036002918052,0.018090456411298753,-52927.76053540799,-53036.27398660672,-57933.080475710274,108.51345119872713
Pair A,Non-border,0.8,0.9755489022874558,0.003459843555938562,2.0565956547990996,0.03158595624474094,-36405.84090094921,-36522.397499529565,-39990.45038480439,116.55659858035506
Pair B,Full,0.8500000000000001,0.9336021116589773,0.003956704646651082,2.2954912186073857,0.01801692067983122,-52911.045942669836,-53036.27398660672,-57797.948102877825,125.2280439368842
Pair B,Non-border,0.8,0.9681360659600468,0.0037806397434491236,2.0732631476699335,0.03105596115180062,-36386.707613091545,-36522.397499529565,-39845.85369962517,135.68988643802004
Pair C,Full,0.8500000000000001,0.9497915388199877,0.003924911218745417,2.3059763635978734,0.01847206020800745,-52397.100585621265,-52520.52110305818,-57848.999732944845,123.42051743691263
Pair C,Non-border,0.8,0.9852642237622209,0.0028957728725244256,2.0976103214075894,0.031778338086580885,-36026.7696033188,-36145.57514960707,-40005.01078018574,118.80554628827667
