model,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs
FE W_geo (full),2.308626489486678,0.017276945624122884,133.62468920798509,0.0,0.8268178726768265,0.0035677771021484566,231.74594404424266,0.0,893,9823
FE W_bank (full),2.404789833550481,0.01824089801488727,131.83505722074742,0.0,0.9878876601676708,0.0023701305370180665,416.8072790668156,0.0,893,9823
FE W_geo (non-border),2.1439300643608474,0.02928962082562098,73.1976039268304,0.0,0.8315582210685398,0.0037973623550330202,218.98311072852803,0.0,635,6985
FE W_bank (non-border),2.4840256843170705,0.02219212091918047,111.93277530180305,0.0,0.987349466973756,0.00248323963915383,397.6053907186331,0.0,635,6985
