outcome,w_matrix,sample,n_counties,lambda,total_multiplier,avg_direct,avg_indirect,indirect_share_pct,avg_reach_km,med_reach_km,n_decay_terms
credit,W_geo,full,827,0.185625851003555,1.2279368165508473,1.0134475865356527,0.2144892300151946,17.467448416252683,44.45756219928666,40.08412122464198,3
credit,W_bank,full,827,0.634416065579692,2.7353499589243726,1.0049591226274546,1.730390836296918,63.260309001827444,1065.0478688312376,928.1866855902518,6
credit,W_bank_count,full,827,0.6484703313773114,2.844710103468796,1.0051776046675869,1.839532498801209,64.66502497242553,1141.7979890592044,1043.000984867839,6
credit,W_bank_binary,full,827,0.4076122383646753,1.6880834898402282,1.0005782077540601,0.687505282086168,40.72697151674875,1294.0929983243689,1167.6946924527767,3
credit,W_bank_knn3,full,827,0.2276620157763285,1.2947699328878233,1.012388410871565,0.2823815220162582,21.809397549604924,117.68550168573336,76.17757946755182,3
credit,W_bank_knn4,full,827,0.26357099861851,1.3579041538614982,1.0133635129723613,0.34454064088913694,25.372972010532564,134.33788497172526,93.74468903555793,3
credit,W_bank_count_knn3,full,827,0.2321789695129832,1.3023868327306898,1.0129324385700742,0.2894543941606156,22.224917120339896,112.20448595711007,74.5447204916262,3
credit,W_bank_count_knn4,full,827,0.2602339914149106,1.351778790042876,1.0130974764353877,0.3386813136074882,25.05449235497665,126.8104214205469,90.70415637836075,3
credit,W_bank_binary_knn3,full,827,0.2235516603893524,1.2879156912119267,1.010900673457656,0.27701501775427073,21.508785058251757,126.2509394613104,78.96680583561825,3
credit,W_bank_binary_knn4,full,827,0.2636576935171,1.3580640297261297,1.0118284078400959,0.34623562188603385,25.494793640610343,145.95825427876184,100.71427978581572,3
credit,W_bank_nonGeo,full,827,0.5198338044227102,2.0826122480315985,1.0024377576813264,1.0801744903502721,51.866327559112825,1031.782423629117,902.5287884609583,4
credit,W_bank_interstate,full,827,0.3146149477616828,1.459033862402192,1.000636729787815,0.458397132614377,31.41785426827996,1079.1843972841243,946.0509662157425,3
credit,W_bank_intrastate,full,827,0.348631585927847,1.5352294928584433,1.013371113374787,0.5218583794836564,33.99220650145331,174.2965157110115,159.1441274908832,3
