pair,w_alt,sample,alpha,N,lam,se_lam,logll,sig2,utu,beta,se_beta
Pair A,W_bank,Full,0.0,877,0.634416065579692,0.03691245318480551,-45795.05102365657,0.08023358818188771,806.4533084570702,0.017729225053439237,0.004994550892287872
Pair A,W_bank,Full,0.05,877,0.6763879769753709,0.03409639533284695,-45767.88798488484,0.07961577077978957,811.2808443491186,0.01726584242794736,0.005169274464174135
Pair A,W_bank,Full,0.1,877,0.6797538598962591,0.032259881329653184,-45747.75922855887,0.07911292486397206,811.4315904106152,0.017569988355596766,0.005286422090561755
Pair A,W_bank,Full,0.15000000000000002,877,0.6552980116987162,0.030914673125275967,-45735.17012803115,0.07875590982377692,807.8864348177717,0.018433685069991552,0.005342481374812359
Pair A,W_bank,Full,0.2,877,0.6141982638818707,0.029476547721209313,-45728.867285247485,0.07853730430870597,803.8294099651832,0.019574790243016824,0.005344898220659321
Pair A,W_bank,Full,0.25,877,0.565993155461384,0.027779549190260447,-45727.00518518823,0.0784281555816354,800.7852216205963,0.020748182344470324,0.0053094472361661345
Pair A,W_bank,Full,0.30000000000000004,877,0.5171585444926469,0.02593514729946541,-45727.92108743401,0.07839523028860543,798.8086608093172,0.021810028886819308,0.005252858416260543
Pair A,W_bank,Full,0.35000000000000003,877,0.47120144591312324,0.024092927401163713,-45730.404992569485,0.07841074865952362,797.5719567098993,0.022708282145315846,0.005187776632752078
Pair A,W_bank,Full,0.4,877,0.4295886646114188,0.022350242483931807,-45733.67326408915,0.07845479269154848,796.7919141977377,0.023443534224178164,0.005121948649652703
Pair A,W_bank,Full,0.45,877,0.3926447881460783,0.020751676214456942,-45737.25295796883,0.07851422061989344,796.2871834240029,0.024037539367144742,0.005059421573207918
Pair A,W_bank,Full,0.5,877,0.36014374217798056,0.01930872217273108,-45740.872971188044,0.07858078587287402,795.9503389697575,0.024516516086085363,0.005001950123476257
Pair A,W_bank,Full,0.55,877,0.3316391447035814,0.018015906477115477,-45744.38583198932,0.07864949295039725,795.7184334081737,0.024904355218505557,0.00495002759367785
Pair A,W_bank,Full,0.6000000000000001,877,0.3066294136564738,0.016860447898485974,-45747.71727556306,0.07871741933965698,795.554038140967,0.025220706076017688,0.004903513607172294
Pair A,W_bank,Full,0.65,877,0.2846333135442184,0.015827325944521152,-45750.83534947895,0.07878293256862139,795.4343528646903,0.02548102185034076,0.004861985329509009
Pair A,W_bank,Full,0.7000000000000001,877,0.2652198296124991,0.014901707030966592,-45753.73196295001,0.07884518925486861,795.3451058132439,0.025697225702839457,0.004824922573050775
