overlap_bin,n_counties,pct
"0
(0/5)",126,12.316715542521994
"0.2
(1/5)",353,34.50635386119257
"0.4
(2/5)",298,29.130009775171064
"0.6
(3/5)",174,17.008797653958943
"0.8
(4/5)",58,5.669599217986315
"1.0
(5/5)",14,1.3685239491691104
