model,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs
W_geo (full),0.033446189780510394,0.0048452056835348615,6.902945295835086,5.093524865460424e-12,0.18009338106565895,0.010653376586949563,16.904816946607728,4.146102788736129e-64,956,10516
W_bank_nonGeo (full),0.022563122099310915,0.004864751501352712,4.638083177123626,3.5165527356156067e-06,0.48456655900622814,0.04231184701831079,11.452266756318345,2.2907571035547342e-30,941,10351
W_geo (border),0.040678623287210884,0.007439479030338581,5.467939773917145,4.552965168958999e-08,0.16769070676774456,0.020596664164776943,8.141643978179639,3.899464640114333e-16,254,2794
W_bank_nonGeo (border),0.029655488332079146,0.00731886724764801,4.05192324558274,5.079833124652118e-05,0.278831171710234,0.05687324301516104,4.902677549720601,9.453909971420477e-07,251,2761
