sample,hausman_diff,hausman_denom,H_stat,p_hausman,t_diff,p_diff,hausman_note,moran_mean_I,moran_mean_p
Full,0.007409505828657091,-4.1486409829092757e-05,,,0.4479047929936448,0.6542219091326169,non-PD denom -> t-test only,0.03727414323865343,0.003272727272727273
Contig,0.009987539583886009,-2.778285038746185e-05,,,0.6218964622475744,0.5340099515282704,non-PD denom -> t-test only,0.04636709596682073,0.06736363636363636
NonContig,0.0024608833982584684,-6.625581245126388e-05,,,0.12528363809657556,0.9002990050272531,non-PD denom -> t-test only,0.04198472605503848,0.01363636363636364
