sample,w_matrix,n_counties,n_obs,beta,se_beta,p_beta,lam,se_lam,p_lam,logll,aic,gap_vs_geo,se_gap,z_gap,p_gap_onesided,LR_vs_geo,p_LR
Full,W_geo,893,9823,2.308626489486678,0.017276945624122884,0.0,0.8268178726768265,0.0035677771021484566,0.0,-53444.58187810755,106911.1637562151,,,,,,
Full,W_bank_bin,886,9746,2.415299357497591,0.01840712553513504,0.0,0.9860125340998058,0.0027333806395379366,0.0,-57933.080475710274,115888.16095142055,0.15919466142297933,0.004494485862834108,35.41999380605355,4.2034662070138974e-275,-8976.997195205447,1.0
Full,W_bank_count,886,9746,2.4108261511875577,0.017943487755382872,0.0,0.9856345177471341,0.002376645650437786,0.0,-57797.948102877825,115617.89620575565,0.15881664507030757,0.00428689607972478,37.0470014007206,1.0035244688106324e-300,-8706.732449540548,1.0
Full,W_bank_nonGeo,876,9636,2.425420289145782,0.01850385604337777,0.0,0.978787350544767,0.004109599830125344,0.0,-57848.999732944845,115719.99946588969,0.15196947786794046,0.005442227872331431,27.92412986610891,6.796539071008198e-172,-8808.83570967459,1.0
Non-border,W_geo,635,6985,2.1439300643608474,0.02928962082562098,0.0,0.8315582210685398,0.0037973623550330202,0.0,-36860.05422723806,73742.10845447613,,,,,,
Non-border,W_bank_bin,629,6919,2.4989606268359386,0.022428660185731166,0.0,0.9851013314311283,0.002920706472323863,0.0,-39990.45038480439,80002.90076960878,0.1535431103625885,0.004790666671027784,32.05046831814903,1.0813007961101781e-225,-6260.792315132654,1.0
Non-border,W_bank_count,629,6919,2.497098832652961,0.02166738337880202,0.0,0.9845222644125498,0.0025055183617328962,0.0,-39845.85369962517,79713.70739925034,0.15296404334400993,0.004549459651035782,33.622464001672014,3.939464114046553e-248,-5971.598944774218,1.0
Non-border,W_bank_nonGeo,621,6831,2.513835479120388,0.022654151579635746,0.0,0.957774977338123,0.007996409736697685,0.0,-40005.01078018574,80032.02156037148,0.12621675626958317,0.008852261266624221,14.258137267757743,1.9948101658137406e-46,-6289.91310589535,1.0
