sample,alpha_star,lam_at_star,se_lam_at_star,beta_D_at_star,se_beta_D_at_star,beta_Deta_at_star,se_beta_Deta_at_star,logll_at_star,logll_geo,logll_bank,logll_improvement
Full,0.75,0.9171859922415712,0.0060411916489218715,0.004897934793261065,0.0011180059276491472,-0.0022763969499748314,0.00038256355268006576,-20738.060739797816,-20827.08424791698,-23637.887619615416,89.02350811916403
Non-border,0.7000000000000001,0.9132983772794032,0.00753292263842115,0.005093541309348412,0.0014549888960255616,-0.0027978485163245243,0.00045878173082029535,-13768.308342739425,-13841.899003379058,-15581.405113430756,73.59066063963292
