sample,lam_geo,lam_knn,gap_knn,lam_avg,gap_avg,verdict
full,0.8268178726768265,0.7974196411500788,-0.029398231526747698,0.9879,0.1610821273231735,REVERSED
non-border,0.8315582210685398,0.7721494848313674,-0.059408736237172466,0.9873,0.15574177893146013,REVERSED
