model,label,beta,se,spatial_param,param_name,n_counties,n_obs
OLS,OLS -- full,0.009141305503528057,0.002780189256919597,,,869,9559
SEM,SEM -- full,0.007811929237821443,0.0010760751279636632,0.7564750163585761,lam,869,9559
SAR,SAR -- full,0.003297005322203325,0.0004827715595458622,0.7350637120326714,rho,869,9559
OLS,OLS -- non-border,0.006444953110402966,0.003093147018475897,,,610,6710
SEM,SEM -- non-border,0.008436682719703737,0.0013915917110933092,0.7222264817829086,lam,610,6710
SAR,SAR -- non-border,0.003316984493029024,0.000599749489948465,0.7028805057335789,rho,610,6710
