dep,panel,coef,se,pval,N
Dl_nloans_b,A1_Banks_NonContig,0.02376359114309467,0.012150323419979084,0.05052673104811922,8107
Dl_vloans_b,A1_Banks_NonContig,0.02460820821589647,0.013288639460462265,0.06409139565353139,8107
Dl_nden_b,A1_Banks_NonContig,0.01782984136796181,0.018926755252772834,0.34620120740268434,8057
Dl_lir_b,A1_Banks_NonContig,0.023277586958417494,0.013260196008329353,0.07922441568581706,8106
Dl_nsold_b,A1_Banks_NonContig,0.0015766126806128098,0.014495429302409357,0.9133910156354204,7860
Dl_nloans_pl,A1_Placebo_NonContig,-0.0009566721535351882,0.009756868516719931,0.9218944813460732,7784
Dl_vloans_pl,A1_Placebo_NonContig,-0.0027579868599454447,0.008947002476603268,0.7578950267722493,7784
Dl_nden_pl,A1_Placebo_NonContig,0.011531726243451588,0.017105238711637414,0.5002296840659444,7770
Dl_lir_pl,A1_Placebo_NonContig,-0.0030101584405540214,0.008829170270770318,0.7331639855050236,7783
Dl_nsold_pl,A1_Placebo_NonContig,-0.01863186785532445,0.011554172543723385,0.10688384498583914,7774
