panel,dep,coef,se,pval,N,R2
Panel A: OOS banks – local branches,Dl_nloans_b_oos_lb,0.1611329134422183,0.05983833470971452,0.007117082926550777,4514,0.1596055611285636
Panel A: OOS banks – local branches,Dl_vloans_b_oos_lb,0.1667680271383939,0.06057240760494208,0.005930151423937602,4514,0.1451962020707258
Panel A: OOS banks – local branches,Dl_nden_b_oos_lb,0.06942260171655927,0.05848257740284227,0.23528625371165335,4108,0.2216185943250536
Panel A: OOS banks – local branches,Dl_lir_b_oos_lb,0.16506401030458215,0.06013217757549414,0.00607973545624918,4513,0.14089489763538143
Panel A: OOS banks – local branches,Dl_nsold_b_oos_lb,0.055352550480772554,0.08071029745807763,0.4928883394457644,3356,0.2580203358378057
Panel A: OOS banks – local branches,Dl_nbra_oos_lb,0.07692346596813592,0.029284647583554622,0.008653543982320988,4783,0.10844394582753003
Panel B: OOS banks – no local branches,Dl_nloans_b_oos,0.01583864839524624,0.011119273124054615,0.15435631949498396,9988,0.16016938277673431
Panel B: OOS banks – no local branches,Dl_vloans_b_oos,0.014522655902058207,0.011174011895825056,0.1937436429267403,9988,0.12291946875491966
Panel B: OOS banks – no local branches,Dl_nden_b_oos,0.012412530042962723,0.023694185842448017,0.6003862233460631,9926,0.47555354988806564
Panel B: OOS banks – no local branches,Dl_lir_b_oos,0.014175510890668291,0.011424709870880855,0.21472086807671187,9987,0.11264795481644696
Panel B: OOS banks – no local branches,Dl_nsold_b_oos,0.01000529580712185,0.013825242851887996,0.4692707539041674,9771,0.18820010663526132
Panel C: In-state banks,Dl_nloans_b_is,0.0034214536556564177,0.01014752952818491,0.7359959612468645,9841,0.05589404332090242
Panel C: In-state banks,Dl_vloans_b_is,-0.0026361677655826303,0.011129106570514415,0.8127620189129674,9841,0.07516332580866703
Panel C: In-state banks,Dl_nden_b_is,0.004917957081896453,0.015056887303369005,0.7439596897297811,9339,0.10594052420105571
Panel C: In-state banks,Dl_lir_b_is,-0.0028833115562891184,0.011280502751336238,0.7982646590064895,9840,0.08119325537132027
Panel C: In-state banks,Dl_nsold_b_is,-0.025179549493220345,0.01924079965437741,0.19068847977831904,9175,0.11901913130855568
Panel C: In-state banks,Dl_nbra_is,0.0012023162302488167,0.006610749746206386,0.8556870673644101,9019,0.04716242769587664
