col,dep,coef,se,pval,N,R2
1,Dl_hpi,0.010563496652784986,0.003517465445628676,0.002694586668472221,3204,0.18532651807811396
2,Dl_hpi,0.02347477504283016,0.0061600241631756866,0.00014150533349521766,3048,0.2360509036384114
3,Dl_hpi,0.012404639272505671,0.00260548827929411,2.0357290775319115e-06,2794,0.4620002955575069
4,Dl_hsosf,0.001394531532087208,0.0004487296617046949,0.0019043356481116547,3048,0.08257727692569305
5,Dl_hsosf,0.0003465325608612028,0.00020293529413708923,0.08783348062514063,2794,0.7503864936733904
