panel,dep,coef,se,pval,N,R2
Panel A: Commercial Banks,Dl_nloans_b,0.027761435492899583,0.010390773697200149,0.00755821462919215,10992,0.12203294818781629
Panel A: Commercial Banks,Dl_vloans_b,0.029441571786298987,0.011415272396897713,0.009918915281367902,10992,0.1323917606698728
Panel A: Commercial Banks,Dl_nden_b,0.013411014917844586,0.018112920202859158,0.459067911716017,10923,0.3896926931078699
Panel A: Commercial Banks,Dl_lir_b,0.028833723077621397,0.01137416326586151,0.011259296332728042,10991,0.1245269487176186
Panel A: Commercial Banks,Dl_nsold_b,0.007737118308707267,0.012341517607250678,0.5307278806728977,10689,0.1128160039767152
Panel B: Placebo Lenders (TFCU & IMC),Dl_nloans_pl,0.0020662759930615707,0.008048759915977012,0.7974006238179174,10580,0.4066236937226506
Panel B: Placebo Lenders (TFCU & IMC),Dl_vloans_pl,0.0013029544994435074,0.007791516335443976,0.867194721595669,10580,0.31561284007942714
Panel B: Placebo Lenders (TFCU & IMC),Dl_nden_pl,0.010685653574494938,0.014750598688698385,0.46882467380930715,10566,0.6136156559917256
Panel B: Placebo Lenders (TFCU & IMC),Dl_lir_pl,0.0012827309959210747,0.007736091972824439,0.8683090138631469,10579,0.29522185758863795
Panel B: Placebo Lenders (TFCU & IMC),Dl_nsold_pl,-0.015176290622130731,0.01059168182797596,0.15193352556802586,10567,0.49148511605481227
