col,dep,var,coef,se,pval,N,R2
1,Dl_hpi,Linter_bra,0.010301477878317387,0.004073660424113326,0.011458916540444397,12214,0.19900105777721855
2,Dl_hpi,Linter_bra,0.02426925719574453,0.0054747677977730275,9.398052073672503e-06,10627,0.20266901986703312
2,Dl_hpi,Linter_ela,-0.008359081658506858,0.0019967475411869127,2.8597386290352134e-05,10627,0.20266901986703312
3,Dl_hpi,Linter_bra,0.01227141111816277,0.0026201250000985167,2.8619847343147597e-06,9735,0.4281661424540909
3,Dl_hpi,Linter_ela,-0.005013687485000689,0.0009432198880640084,1.089612480242863e-07,9735,0.4281661424540909
4,Dl_hsosf,Linter_bra,0.0017619194482691696,0.0005530404731827663,0.0014477127908694154,10627,0.04835162700750273
4,Dl_hsosf,Linter_inela,-0.0025771943408301585,0.0006163804599506271,2.925487318150566e-05,10627,0.04835162700750273
5,Dl_hsosf,Linter_bra,0.0002755003266238619,0.0002264395900442266,0.22376555997164727,9735,0.7374997515838038
5,Dl_hsosf,Linter_inela,-0.0008332719168728659,0.0003838943119944737,0.029989770263555204,9735,0.7374997515838038
