year,county,state_n,border_name,border,msa,elasticity,inter_bra,Linter_bra,Linter_ela,inelasticity,Linter_inela,yeard,w1,yryear_1994,yryear_1995,yryear_1996,yryear_1997,yryear_1998,yryear_1999,yryear_2000,yryear_2001,yryear_2002,yryear_2003,yryear_2004,yryear_2005,Dl_hpi,LDl_hpi,Dl_pop,LDl_pop,Dl_inc,LDl_inc,Dl_hsosf,LDl_hsosf,fips5
1995,1001.0,1.0,AL,0,33860.0,3.5814337730407715,0.0,0.0,0.0,0.2792177835389547,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.048912131158196814,0.003176089951823613,0.023960368985072478,0.03282212139447971,0.010366269971296305,0.029583738945721194,0.02609861515519274,0.03418103619672008,01001
1995,1007.0,1.0,AL,0,13820.0,2.144763946533203,0.0,0.0,0.0,0.46625177638611476,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.048109962712985066,0.05832416389986772,0.02483716294108973,0.016532071577824325,0.015512621520382908,0.026634914439050306,0.011405283749740258,0.007947086164252104,01007
1995,1009.0,1.0,AL,0,13820.0,2.144763946533203,0.0,0.0,0.0,0.46625177638611476,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.04534589782883369,0.05503328690004494,0.03557778790045063,0.015500511801418426,0.008437676987922416,0.022190881603213697,0.03149484952004267,0.018030735519514174,01009
1995,1015.0,1.0,AL,0,11500.0,,0.0,0.0,,,,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.00821594843009077,0.03188435437842507,0.005400290435616739,-0.0014022412345635615,0.013996820466763538,0.007340265814377744,0.011160569432831835,0.008382276487830076,01015
1995,1021.0,1.0,AL,0,13820.0,2.144763946533203,0.0,0.0,0.0,0.46625177638611476,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.045434823690514214,0.05485684496022358,0.022711432096688355,0.019387042515797148,0.033925612797851556,0.028108860730183594,0.01464631713121145,0.013023178768790444,01021
1995,1033.0,1.0,AL,0,22460.0,,0.0,0.0,,,,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.04939094497866581,0.031001020270267077,0.004628773802577868,0.001628893555318811,0.009064937251894278,0.025103434099632338,0.006909329827311961,0.005183980967714774,01033
1995,1051.0,1.0,AL,0,33860.0,3.5814337730407715,0.0,0.0,0.0,0.2792177835389547,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.05579610006498026,0.011837361046092454,0.02948877229064628,0.027079551359024734,0.030359712944768802,0.03225911016460792,0.029762043958535767,0.02982604164727176,01051
1995,1055.0,1.0,AL,0,23460.0,3.406383991241455,0.0,0.0,0.0,0.29356643366432406,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.03891541573609647,0.08922643230969385,0.001261274641061405,0.008873748180143082,0.0008902339560954431,0.02218615205965868,0.0034072978027444023,0.010175564719620223,01055
1995,1061.0,1.0,AL,0,20020.0,4.256374359130859,0.0,0.0,0.0,0.23494174046387156,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.031675923228053016,0.028346319278303334,0.008605489811651879,0.011045797585635952,0.016780578710896776,0.009251564158136105,0.005026411623031413,0.00913998340189126,01061
1995,1063.0,1.0,AL,0,46220.0,,0.0,0.0,,,,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.030134078727090507,0.04697536522759593,-0.005045768805741702,-0.008157694264056659,0.039394180718096194,0.01315525323706801,-0.005110324407963107,-0.008002447180866845,01063
1995,1065.0,1.0,AL,0,46220.0,,0.0,0.0,,,,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.04579708035828656,0.06593417881546904,0.009505070944536342,0.006220859875103457,0.01950458396541066,0.019145221903812626,0.0013123330680078205,0.0002551882023549279,01065
1995,1067.0,1.0,AL,0,20020.0,4.256374359130859,0.0,0.0,0.0,0.23494174046387156,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.03876862672134429,0.03626213121386934,-0.0014477703721667012,0.006563194075532408,0.0145055928726876,0.047808406519536106,-0.0006473941989220133,0.008949311484959477,01067
1995,1069.0,1.0,AL,0,20020.0,4.256374359130859,0.0,0.0,0.0,0.23494174046387156,0.0,1999.0,0.043478260869565216,0,1,0,0,0,0,0,0,0,0,0,0,0.03285508454547248,0.02934482702888097,0.007615193915228247,-0.0037381009991861447,0.02928833184815538,0.034255954420082446,0.012868379655126105,0.0037380078170845543,01069
